7451f04 | Danila Danko | 2024-03-18 | refactor(metrics): use TH
4b37bde | Danila Danko | 2024-03-17 | refactor(cli): don't die
08d305e | Danila Danko | 2024-03-17 | refactor(cli): throw when could not read a program
521d95d | Danila Danko | 2024-03-17 | refactor(cli): use specific exceptions
f2643ed | Danila Danko | 2024-03-16 | refactor(cli): get metrics
9860676 | Danila Danko | 2024-03-16 | refactor(metrics): change arguments order
1af5704 | Danila Danko | 2024-03-16 | refactor(cli): exception handling
c2a6ddf | Danila Danko | 2024-03-16 | refactor(cli): use exceptions
44d5d2b | Danila Danko | 2024-03-16 | refactor(cli): metrics command
ba83593 | Danila Danko | 2024-03-16 | refactor(cli): allow optional path to bindings
b989921 | Danila Danko | 2024-03-16 | refactor(metrics): allow optional path
fa0c048 | Danila Danko | 2024-03-16 | refactor(cli): use more records
31822e9 | Danila Danko | 2024-03-16 | refactor(cli): get parser context
6c659d6 | Danila Danko | 2024-03-16 | refactor(cli): use records for commands data
55b64e1 | Danila Danko | 2024-03-16 | refactor(cli): check file exists
398678a | Danila Danko | 2024-03-16 | refactor(cli): splitStringOn
5fc1916 | Danila Danko | 2024-03-15 | feat(scripts): add script to  collect metrics for phi and phi-normalized programs
0223138 | Danila Danko | 2024-03-15 | fix(site): update docs on the metrics command
b37cdc1 | Danila Danko | 2024-03-19 | refactor(any): apply hlint suggestions
94bdd65 | Danila Danko | 2024-03-19 | fix(metrics): update doctests
217c8de | Danila Danko | 2024-03-19 | chore(site): run mdsh
efa6035 | Danila Danko | 2024-03-19 | refactor(tests): remove redundant import
0a367aa | Danila Danko | 2024-03-19 | chore(site): run mdsh
b0e6b05 | Danila Danko | 2024-03-19 | feat(docs): document bindings-by-path
b70ed95 | Danila Danko | 2024-03-19 | fix(site): in the sample program, make the top-level attribute attached to a formation
68fd001 | Danila Danko | 2024-03-19 | fix(metrics test): update test format
cdec22e | Danila Danko | 2024-03-19 | fix(phiSpec): update metrics functions
75a8954 | Danila Danko | 2024-03-15 | fix(metrics): collect object and program metrics
5a663cb | Danila Danko | 2024-03-15 | fix(metrics): collect metrics for an object
cd78a8f | Danila Danko | 2024-03-15 | feat(metrics): support metrics for bindings by path
9d1d621 | Abdelrahman Abounegm | 2024-03-18 | Print message in bytes case as well
9ae5d6a | Abdelrahman Abounegm | 2024-03-18 | Fix dataizing step on application and dispatch
f219cf7 | Abdelrahman Abounegm | 2024-03-17 | Use the last item of the chain instead of first
e9ebf30 | Abdelrahman Abounegm | 2024-03-17 | Fix order of log entries
607f74f | Abdelrahman Abounegm | 2024-03-17 | Include LHS/RHS evaluation in logs chain
7aaf614 | Abdelrahman Abounegm | 2024-03-15 | Add chain support to dataization too
49f60d7 | Abdelrahman Abounegm | 2024-03-15 | Attach name to rules and propagate in applications
21ee538 | Abdelrahman Abounegm | 2024-03-15 | Attach names to rules in context
8d06409 | Danila Danko | 2024-03-15 | fix(metrics): counting dataless formations
63f1829 | Danila Danko | 2024-03-13 | refactor(metrics): follow the reviewer comments
cdf37e0 | Abdelrahman Abounegm | 2024-03-13 | Fix test of rule 5
29ef54a | Abdelrahman Abounegm | 2024-03-13 | Fix context in tests
f85ba45 | Abdelrahman Abounegm | 2024-03-13 | Format document with fourmolu
81dd84f | Abdelrahman Abounegm | 2024-03-13 | Remove comment not in PDD bot format
f69ad57 | Abdelrahman Abounegm | 2024-03-13 | Improve description of duplicated rules
96ae007 | Abdelrahman Abounegm | 2024-03-13 | Fix interpolation of Bytes in function evaluation
953f6fb | Abdelrahman Abounegm | 2024-03-13 | Fix alpha index in dataization of RHS operand
da43e27 | Abdelrahman Abounegm | 2024-03-13 | Dataize objects in application and dispatch
1e89f30 | Danila Danko | 2024-03-13 | refactor(metrics): move metrics module
bc0df01 | Abdelrahman Abounegm | 2024-03-13 | Increase default max depth
963265c | Danila Danko | 2024-03-13 | refactor(metrics): update hlint config
e83af0c | Danila Danko | 2024-03-13 | fix(metrics): test metrics
be79d16 | Danila Danko | 2024-03-13 | fix(metrics): test types
